Year,Month,Day,Hour,Minute,GHI,Temperature
2014,1,24,23,30,0,-1
2014,1,25,0,30,0,-2
2014,1,25,1,30,0,-2
2014,1,25,2,30,0,-3
2014,1,25,3,30,0,-3
2014,1,25,4,30,0,-3
2014,1,25,5,30,0,-4
2014,1,25,6,30,0,-4
2014,1,25,7,30,0,-4
2014,1,25,8,30,99,-3
2014,1,25,9,30,269,-1
2014,1,25,10,30,413,0
2014,1,25,11,30,508,1
2014,1,25,12,30,547,2
2014,1,25,13,30,525,3
2014,1,25,14,30,445,2
2014,1,25,15,30,314,1
2014,1,25,16,30,150,0
2014,1,25,17,30,0,0
2014,1,25,18,30,0,0
2014,1,25,19,30,0,-1
2014,1,25,20,30,0,0
2014,1,25,21,30,0,0
2014,1,25,22,30,0,0
2014,1,25,23,30,0,-1
2014,1,26,0,30,0,-1
2014,1,26,1,30,0,-2
2014,1,26,2,30,0,-2
2014,1,26,3,30,0,-2
2014,1,26,4,30,0,-3
2014,1,26,5,30,0,-3
2014,1,26,6,30,0,-3
2014,1,26,7,30,0,-3
2014,1,26,8,30,99,-2
2014,1,26,9,30,270,0
2014,1,26,10,30,416,1
2014,1,26,11,30,516,3
2014,1,26,12,30,558,4
2014,1,26,13,30,538,4
2014,1,26,14,30,457,4
2014,1,26,15,30,325,3
2014,1,26,16,30,159,1
2014,1,26,17,30,0,0
2014,1,26,18,30,0,0
2014,1,26,19,30,0,0
2014,1,26,20,30,0,0
2014,1,26,21,30,0,0
2014,1,26,22,30,0,0
2014,1,26,23,30,0,0
2014,1,27,0,30,0,0
2014,1,27,1,30,0,-1
2014,1,27,2,30,0,-1
2014,1,27,3,30,0,-2
2014,1,27,4,30,0,-2
2014,1,27,5,30,0,-2
2014,1,27,6,30,0,-2
2014,1,27,7,30,0,-1
2014,1,27,8,30,100,0
2014,1,27,9,30,270,1
2014,1,27,10,30,225,2
2014,1,27,11,30,349,3
2014,1,27,12,30,556,4
2014,1,27,13,30,537,4
2014,1,27,14,30,347,3
2014,1,27,15,30,327,2
2014,1,27,16,30,161,0
2014,1,27,17,30,0,-1
2014,1,27,18,30,0,-1
2014,1,27,19,30,0,-1
2014,1,27,20,30,0,-2
2014,1,27,21,30,0,-2
2014,1,27,22,30,0,-3
2014,1,27,23,30,0,-3
2014,1,28,0,30,0,-3
2014,1,28,1,30,0,-4
2014,1,28,2,30,0,-4
2014,1,28,3,30,0,-4
2014,1,28,4,30,0,-4
2014,1,28,5,30,0,-4
2014,1,28,6,30,0,-4
2014,1,28,7,30,0,-4
2014,1,28,8,30,106,-3
2014,1,28,9,30,282,-1
2014,1,28,10,30,432,0
2014,1,28,11,30,532,1
2014,1,28,12,30,573,2
2014,1,28,13,30,552,2
2014,1,28,14,30,324,1
